text,intent
"Hello!",greeting
"Hi there! How can I assist you today?",greeting
"Good morning, what's on the menu for breakfast?",menu_inquiry
"I'm looking for a place to have lunch. What do you recommend?",suggestions
"I want to try something new. What's your chef's special?",suggestions
"I'm interested in your vegan options. Can you tell me more?",dietary_options
"Do you have gluten-free alternatives?",dietary_options
"I'd like to order a large pepperoni pizza for delivery.",order_food
"What's your most popular dish?",menu_inquiry
"I'm hosting a party. Do you offer catering services?",catering_services
"What are your operating hours on weekends?",hours_inquiry
"Are you open on public holidays?",hours_inquiry
"I'm planning a romantic dinner. Can I make a reservation for two?",reservation
"Do you have outdoor seating available?",reservation
"How do I get to your restaurant from downtown?",directions
"I'm lost. Can you guide me to your location?",directions
"What's the quickest way to reach you from the airport?",directions
"I had a great experience last time I visited. Just wanted to share!",feedback
"I'd like to provide some feedback on my recent dining experience.",feedback
"Your restaurant was recommended to me by a friend. Looking forward to trying it!",referral
"I'm allergic to nuts. Do you have dishes that are nut-free?",dietary_options
"What's the price range for your main courses?",pricing
"I'd like to make a reservation for a party of six on Friday evening.",reservation
"Do you offer gift vouchers or gift cards?",gift_cards
"I'm a vegetarian. Can you recommend some options for me?",dietary_options
"I'm planning a surprise birthday dinner. Can you help me arrange something special?",special_occasion
"What's the ambiance like at your restaurant?",atmosphere
"I'm in the mood for seafood. What do you have available?",menu_inquiry
"Can I see your wine list?",wine_list
"What's your corkage fee if I bring my own wine?",corkage_fee
"I'm visiting from out of town. Is there anything unique on your menu that I should try?",menu_recommendation
"I'm looking for a family-friendly restaurant. Do you have a kids' menu?",kids_menu
